x,y,label,source
-3.93585015603032,0.362102221895611,polijsten,cht
0.611766139078859,-0.844992174483561,inleiders,cht
-1.47031011293487,-1.5573398126764,kegelbanen,cht
-2.20295016032716,-4.2612682884057,kanonneerboten,cht
-3.93406466335515,-1.10500010766905,keggen,cht
-1.77061457105517,-3.90241821692842,vaarwater,cht
-3.33252615200168,-1.09518113817631,rekstrookjes,cht
-2.11680371228247,-4.06793072471276,retourschepen,cht
-2.94486636368138,1.33250414549823,lichtbreking,cht
1.33186998256172,2.14029018864487,emblemata,cht
-4.70424476015663,-0.504849572807869,draagvloeren,cht
-3.60914460976052,-1.40528784771937,vuisters,cht
-5.17438127574047,0.418091304539871,bladgoud,cht
-3.3232498518673,1.41894402095055,regen,cht
-2.6722791743746,-2.98038215728919,museumtrams,cht
-1.26018897164765,-3.81864954571034,visverkoop,cht
-1.4534375603743,-2.23176145369195,monnikskappen,cht
-1.22336925812263,-2.32274102752833,schipperswoningen,cht
0.0275950535749539,-2.22352790376649,katoenweverijen,cht
-3.83919723332856,-0.551681990834293,fruitschalen,cht
-4.81943794132617,1.9822296677888,polyethyleenglycol,cht
-2.2659712993329,-2.23351393414043,kerncentrales,cht
-1.17071891230202,0.402922546425654,handboeken,cht
-3.16544786544715,-2.11392449930302,schoorsteenpijpen,cht
-2.24379270874802,0.121365170789262,platenhoezen,cht
-2.3248574914965,-4.45298363962351,korvetten,cht
-2.05101978543488,-3.65301624278374,scheepshellingen,cht
-2.32639203010041,1.31108933859896,overlappen,cht
-4.91577781355192,-0.154431367449524,wapeningsstaal,cht
-4.26557298786455,1.19286035375618,vuil,cht
-2.68626339718191,-1.54325745908726,herenbanken,cht
-2.16834031081227,-2.39669542162721,galgen,cht
-2.53334501551562,-2.58205049795093,brugleuningen,cht
-0.65217433362562,-0.00288654222653084,leegstand,cht
-0.120303353501241,-2.6347704128441,tuinbouw,cht
-3.86057509526126,-2.01874860816537,wormwielen,cht
-5.79801398247292,-0.764212143432099,tricot,cht
-2.40985549052473,-3.638182038417,rakken,cht
-3.37856428726951,0.590946586799678,conté,cht
-4.07754421424036,-1.9875045317481,standvinken,cht
-1.99652690427575,-1.30748216697079,cenotafen,cht
-2.48684106478994,-2.44525355087182,kanonkelders,cht
-2.17140433550187,-4.29812778539551,zeesleepboten,cht
-3.29360948990733,0.731919595554987,ei-tempera,cht
-1.7209045529065,2.21023256212185,fictief,cht
-2.22820608075732,-2.73302808211062,keelkazematten,cht
-4.44125124107605,0.75977765451131,ijs,cht
-1.93515554893779,-2.10409614719662,pompstations,cht
-3.57740001647574,-0.480472261859932,briefopeners,cht
-2.27867914993024,-3.17793970813756,haringkarren,cht
-5.35873615350746,-1.63452197744204,handdoeken,cht
-1.12917005495019,0.0438882332710424,reconstructiewerkzaamheden,cht
-1.37698085347445,-3.25224256223706,zompen,cht
-2.30085296515114,1.84929935882654,stegen,cht
-4.86987947617631,1.37431656716048,hars,cht
-4.49532607199877,-1.87427378397898,kinderstoelen,cht
-3.37560518304423,0.176187819634271,buffetten,cht
-1.48937076958682,-2.45484313048526,dijkmagazijnen,cht
-4.88033936998326,2.17316809836881,ethyleenoxide,cht
-2.52422196587757,-1.9379694580456,onderleiders,cht
-1.0330574295321,-0.727047472754598,librijen,cht
-3.07431992981709,-3.29310307909676,vliegtuigmotoren,cht
0.242265545196064,-0.554613930589252,jeugdgevangenissen,cht
-3.15222336896486,-1.33209784429451,steenzetters,cht
-4.82512116630984,-0.81873419219405,netsuke,cht
-0.476121197788748,1.51813052484239,notendop,cht
-1.74498931815183,1.49350763684076,beheer,cht
-0.728493710910762,1.02090304449619,informatiebeleid,cht
-3.98303751305798,-0.691075122159496,sigarendozen,cht
-1.88345916039421,-0.190392865581863,plakkaten,cht
0.465019216599535,-0.38247753796918,referendarissen,cht
-2.40288079172735,1.5336580777997,verbinden,cht
-1.70464814186501,-2.91298367029769,molens,cht
-4.7378610290098,-0.872071192469706,spinrokken,cht
-2.23997516902937,-0.0597776032730744,symbolen,cht
-4.59261897072559,1.01396255172568,schuurpapier,cht
0.0711753947463968,1.78186506854695,godsdienstonderwijs,cht
-5.24667725664435,2.01557777223708,metaaloxide,cht
-2.42080895673258,1.71439013289082,draaien,cht
-4.54284699113979,0.878328760716195,ketjap,cht
-1.19207954109671,-2.57116069848298,bloemperken,cht
-1.83981502802586,-3.37139551070219,reien,cht
-5.24955474790651,-1.2466331893948,mantels,cht
-1.55548809100439,-2.81799984273343,natuurrampen,cht
-5.838409252329,1.56274960600101,carneool,cht
-2.17845121252541,-1.28282399698372,reklameborden,cht
-2.13688194526052,-4.34076922799157,koggen,cht
-1.26991925069092,-4.08251499392157,zoetwatervisserij,cht
0.526576997207792,-1.02056215127317,koplopers,cht
-0.15777596445881,1.09413276889869,sancties,cht
-3.62883218103101,1.30280759197368,bevochtigen,cht
-2.5989467450204,-3.58354615603078,boegen,cht
-4.73690109334979,-0.204403593794522,prefabricage,cht
-0.806104098960538,-3.85320694521801,pijlstaartroggen,cht
0.0872156653970455,-0.434009769396466,bisdommen,cht
-4.0966365957799,-1.49796855171175,kopspijkertjes,cht
-5.42739300509883,-0.493272008912772,lompen,cht
-3.73553950121198,-0.229752738027502,zakken,cht
-0.0154484733308596,-0.753450491814933,meiers,cht
-1.20773568018372,-1.59848830561179,foyers,cht
-1.25887799092835,1.0771632691836,vastlegging,cht
-5.15182786603349,0.0217462161670685,shingles,cht
-3.91123942702955,-2.52018074630431,gewelfkappen,cht
-3.86441201031007,-0.948416166895477,harken,cht
