prefLabel
Nuovo Design
Aman-Kutan
faience (samengesteld materiaal)
Hi-8
Indigenous Protected Areas
Mahlalela
Mba
found footage
Betacam-SP
fused deposition modeling
laminated object manufacturing
tampons (uitrusting voor persoonlijk gebruik)
municipal art
wash manner
commesso
mokume-gane
Dau al Set
dust ruffles
communication design
slapsticks
consoles (korbelen)
Noh
kyogen
pronk poppenhuisen
tabars
tabulae ansatae
dikiria
katars
yatagans
Capreolinae (onderfamilie)
Otomi
tjaskers
capotes (luifelhoeden)
bastions
Simiiformes (infraorde)
cartonniers
tjotters
Weimar (stijl en beweging)
raths
cannetille
kanji
Odia
Corrosion Intercept (TM)
Berber
guédoufles
Asháninka
botters
pumps (schoenen)
onagers
armoires
bases (rokken)
winnowing screens
lighter than air aircraft
bateaux
bidets (draagbaar)
console dessertes
credences
Orchidaceae
carillons
harmoniums
paddle tennis
mascara
circumferentors
sprinklers
bahuts
hôtels de ville
custodes (liturgische houders)
edge shaves (leatherworking tools)
edge bevelers (leatherworking tools)
meters
casseroles
cartes-de-visite (fotografische kaarten)
spuds (excavating spades)
barometers
stampers
board hammers
hinaki
whiteboards
canterburies (standaarden)
kete whakairo
travelers (metalworking equipment)
bergères (stoelen)
rackets (sportuitrusting)
interval
huidis
modinature
architectural fly-throughs
U-matic (TM)
union suits
bretelles
xiuhhuitzolli
teixiptlahuan
altepemeh
tlahtohqueh
macehualtin
pipiltin
bianxiang (Boeddhistisch object)
zhong (bellen)
double elephant folio
atlas folio
chimalli
tlahuiztli
vittae
kalasiris
Erythroxylaceae (familie)
Erythroxylum (geslacht)
coca (planten)
Salix viminalis (soort)
Mallorquí (taal)
kilohertz
bianwen
Pali (taal)
vergaut
ūrṇā (Boeddhistisch concept)
Magna
pulque
hōmyō
gossamer tissue
theophorous statues
naophorous statues
Nymphalidae (familie)
Morphinae (subfamilie)
Morphini (geslachtengroep)
Morpho (geslacht)
Morpho menelaus (soort)
Sphingidae (familie)
Eumorpha (geslacht)
Eumorpha fasciatus (soort)
nían hùa
Quercus ilex (soort)
chambray
hanbok
stephanes
babouches
jargon
emoji
balsas
tlatecque
teocuitlapitzcayotl
xiuhzaloliztli
toltecayotl
toltecah
tutelaries
urinettes
DOS
IMAX (TM)
long-line format
tabloid
tabloids
packets
Devanagari
pastel (materiaal)
Perlon (R)
carbatinae
vitarka mudra
anjali mudra
bhumisparsa mudra
bodhyangi mudra
tarjani mudra
vajrahunkara mudra
varada mudra
vyakhyana mudra
chih pei
Chinese yuan (valuta)
fenêtres à terre
stonecuts (prenten)
stonecut (proces)
Ilex paraguariensis (soort)
maté (drank)
maté (bladeren)
SCSI
ōllamaloni
écu (valuta)
salt-lift
anime (genre)
teocuitlapitzqueh
gulden (historische munten)
livre (munteenheid)
louis (munteenheid)
shilling (munteenheid)
Reichsthaler (munteenheid)
groschen (munteenheid)
fiorini d'oro
California job cases
Arte nucleare
"Xia (Zestien Koninkrijken, cultuur, stijl, periode)"
Kachin (Birmese cultuur)
Palaung (Birmese cultuur)
Shan (taal)
Shan (Birmese cultuur)
Pharomachrus mocinno (soort)
New Topographics
"are, bure, boke"
depot wagons
fasti
jícaras de chocolate
Eubacteria (voormalig rijk)
Paeoniaceae (familie)
candlestick inkwells
sarga (techniek)
influenza
Mapuche
"Cheng Han (Zestien Koninkrijken, cultuur, stijl, periode)"
Zaparoan (taalfamilie)
English-Tahitian Cant (taal)
commissaires-priseurs
huissiers-priseurs
Guahiban (taalfamilie)
Harakmbet (taalfamilie)
Kwomtari-Baibai (taalfamilie)
Left May (taalfamilie)
Lower Mamberamo (taalfamilie)
Lule-Vilela (taalfamilie)
Macro-Ge (taalgroep)
Mataco-Guaicuru (taalfamilie)
Mixe-Zoque (taalfamilie)
Mosetenan (taal)
Sepik-Ramu (taalfamilie)
Sko (taalfamilie)
Subtiaba-Tlapanec (taalfamilie)
Tai-Kadai (taalfamilie)
Tarascan (taalfamilie)
Torricelli (taalfamilie)
Totonacan (taalfamilie)
Tucanoan (taalfamilie)
Uru-Chipaya (taalfamilie)
Witotoan (taalfamilie)
Yanomam (taalfamilie)
tops
Bayono-Awbono (taalfamilie)
Chon (taalfamilie)
tabliers
toiles
karma
resist painting (techniek)
gigahertz
megahertz
hertz
iscupurus (houders)
guimpes
domus ecclesiae
slingbacks
seraser
çatma
logia (documentgenre)
Dodonaea (geslacht)
Yersinia pestis (soort)
dots per inch
EXIF
nierakate
pixels per inch
lifting
Yersinia (geslacht)
Enterobacteriaceae (familie)
Enterobacteriales (orde)
Gammaproteobacteria (klasse)
Proteobacteria (fylum)
crowdsourcing
vihta
barong Tagalog
kitsune
tanuki
zeiras
strophia
replumi
chlamyses
chamarres
kemha
Spumaretrovirinae (subfamilie)
Lentivirus (geslacht)
terno (jurken)
mazamorra
biconvex
visual art (kunstgenre)
pixels per centimeter
red lacquer
astels
urushi
"Late Tang (Tang-dynastie, 836-907)"
Herpesvirales (orde)
Caudovirales (orde)
Ligamenvirales (orde)
Mononegavirales (orde)
Nidovirales (orde)
Picornavirales (orde)
Tymovirales (orde)
Paramyxoviridae (familie)
Respirovirus (geslacht)
Retroviridae (familie)
Orthoretrovirinae (subfamilie)
Yukian (taalfamilie)
Cryptodira (onderorde)
Cheloniidae (familie)
Eretmochelys (geslacht)
Eretmochelys imbricata (soort)
tawelas
Octodontidae (familie)
Spalacopus (geslacht)
Spalacopus cyanus (soort)
kebe-kebe (dans)
kavya
Midwestern (van de VS)
Southwestern (van de VS)
gender (sociologisch concept)
Echiura (klasse)
Nordic gold
sortilege
Kansan (van de moderne Amerikaanse staat)
Kentuckian (van de moderne Amerikaanse staat)
Louisianian (van de moderne Amerikaanse staat)
Mainer (van de moderne Amerikaanse staat)
Marylander (van de moderne Amerikaanse staat)
Massachusettsan (van de moderne Amerikaanse staat)
Michiganian (van de moderne Amerikaanse staat)
Minnesotan (van de moderne Amerikaanse staat)
Mississippian (van de moderne Amerikaanse staat)
Missourian (van de moderne Amerikaanse staat)
Montanan (van de moderne Amerikaanse staat)
Nebraskan (van de moderne Amerikaanse staat)
Nevadan (van de moderne Amerikaanse staat)
